1,2,3,4
0,20,40,60
1,21,41,61
2,22,42,62
3,23,43,63
4,24,44,64
5,25,45,65
6,26,46,66
7,27,47,67
8,28,48,68
9,29,49,69
10,30,50,70
11,31,51,71
12,32,52,72
13,33,53,73
14,34,54,74
15,35,55,75
16,36,56,76
17,37,57,77
18,38,58,78
19,39,59,79
80,100,120,140
81,101,121,141
82,102,122,142
83,103,123,143
84,104,124,144
85,105,125,145
86,106,126,146
87,107,127,147
88,108,128,148
89,109,129,149
90,110,130,150
91,111,131,151
92,112,132,152
93,113,133,153
94,114,134,154
95,115,135,155
96,116,136,156
97,117,137,157
98,118,138,158
99,119,139,159
160,180,200,220
161,181,201,221
162,182,202,222
163,183,203,223
164,184,204,224
165,185,205,225
166,186,206,226
167,187,207,227
168,188,208,228
169,189,209,229
170,190,210,230
171,191,211,231
172,192,212,232
173,193,213,233
174,194,214,234
175,195,215,235
176,196,216,236
177,197,217,237
178,198,218,238
179,199,219,239
240,260,280,300
241,261,281,301
242,262,282,302
243,263,283,303
244,264,284,304
245,265,285,305
246,266,286,306
247,267,287,307
248,268,288,308
249,269,289,309
250,270,290,310
251,271,291,311
252,272,292,312
253,273,293,313
254,274,294,314
255,275,295,315
256,276,296,316
257,277,297,317
258,278,298,318
259,279,299,319
